source_url,name,source,source_product_id,brand,category,price,original_price,availability,description,image_url,specifications,captured_at
https://www.tk3c.com/product/117872?p=1&kw=無線滑鼠&ec=Search_goodsPC1,燦坤獨家｜羅技 Logitech M185 無線滑鼠 黑灰色,tk3c,117872,Logitech,Wireless Mouse,468.0,,InStock,12個月電池壽命、Nano超小型接收器，並附儲存槽、3年保固、雙色外型設計、1000dpi高解析度、燦坤獨家商品,https://www.cdn-tkec.tw/image/product/201107/117872_M.jpg?t=20251201161001,{},2026-09-09T08:41:52.110696+00:00
https://www.tk3c.com/product/224571?p=1&kw=無線滑鼠&ec=Search_goodsPC1,雷蛇 Razer 煉獄虫奎蛇V2 X速度版無線電競滑鼠,tk3c,224571,RAZER,Wireless Mouse,999.0,,InStock,7 顆可獨立編程按鍵、右手專用人體工學設計、電競級觸覺回饋滾輪、內建 DPI 和按鍵配置儲存空間,https://www.cdn-tkec.tw/image/product/202201/224571_M.jpg?t=20241024094109,{},2026-09-09T08:41:53.483413+00:00
https://www.tk3c.com/product/119180?p=1&kw=無線滑鼠&ec=Search_goodsPC1,燦坤獨家｜羅技 Logitech M185 無線滑鼠 黑藍色,tk3c,119180,Logitech,Wireless Mouse,468.0,,InStock,12個月電池壽命、Nano超小型接收器，並附儲存槽、3年保固、雙色外型設計、1000dpi高解析度、燦坤獨家商品,https://www.cdn-tkec.tw/image/product/201109/119180_M.jpg?t=20251201160939,{},2026-09-09T08:41:54.860155+00:00
https://www.tk3c.com/product/117873?p=1&kw=無線滑鼠&ec=Search_goodsPC1,燦坤獨家｜羅技 Logitech M185 無線滑鼠 黑紅色,tk3c,117873,Logitech,Wireless Mouse,649.0,,InStock,12個月電池壽命、Nano超小型接收器，並附儲存槽、3年保固、雙色外型設計、1000dpi高解析度、燦坤獨家商品,https://www.cdn-tkec.tw/image/product/201107/117873_M.jpg?t=20251201161008,{},2026-09-09T08:41:56.251049+00:00
https://www.tk3c.com/product/232447?p=1&kw=無線滑鼠&ec=Search_goodsPC1,羅技 Logitech LIFT 人體工學垂直無線滑鼠-玫瑰粉,tk3c,232447,Logitech,Wireless Mouse,2490.0,,InStock,嶄新Logi Bolt 新一代的接收器技術、持久續航2年電池壽命、Easy-Swich 功能裝置自由切換、57度雙認證人體工學設計,https://www.cdn-tkec.tw/image/product/202208/232447_M.jpg?t=20251203142923,{},2026-09-09T08:41:57.616715+00:00
https://www.tk3c.com/product/259254?p=1&kw=無線滑鼠&ec=Search_goodsPC1,賽睿 Rival 3 Gen 2無線電競滑鼠-夜澈黑,tk3c,259254,SteelSerie,Wireless Mouse,1590.0,,InStock,比以往更快，點擊延遲僅 1.9 毫秒、遊戲等級 2.4GHz 無線連線與藍牙雙模、18K DPI 實現真正1對1精準追蹤、保證可承受 6000 萬次點擊、遊戲等級 2.4GHz 無線連線與藍牙雙模、經戰鬥驗證的外型設計，輕巧舒適、專為遊戲打造的獨特滑鼠,https://www.cdn-tkec.tw/image/product/202506/259254_M.jpg?t=20250609121517,{},2026-09-09T08:41:58.958313+00:00
https://www.tk3c.com/product/243485?p=1&kw=無線滑鼠&ec=Search_goodsPC1,Esense 無線靜音滑鼠-銀,tk3c,243485,Esense,Wireless Mouse,299.0,,SoldOut,"別於一般靜音滑鼠，四鍵皆採用靜音按鍵設計、特殊極靜音設計，給您舒適寧靜的使用環境、解析度1000/1200/1600三種DPI選擇、藍光光學感應技術，使用游標加倍精準、2.4GHz無線技術,操控距離可達10公尺、瀏覽快速翻頁功能鍵，提高使用效能與便利性、隱藏收納接收器設計，快速更換超方便、電池使用超省電",https://www.cdn-tkec.tw/image/product/202309/243485_M.jpg?t=20230927223013,{},2026-09-09T08:42:00.308600+00:00
https://www.tk3c.com/product/264030?p=1&kw=無線滑鼠&ec=Search_goodsPC1,Acer M17無線雙模輕漾滑鼠-灰藍,tk3c,264030,ACER,Wireless Mouse,699.0,,InStock,支援 2.4GHz 無線(USB Dongle)、支援藍牙 5.2（BT5.2）、提供 800 /1200預設/1600 DPI 靈敏度選擇、無線操作距離約10公尺,https://www.cdn-tkec.tw/image/product/202510/264030_M.jpg?t=20251029201530,{},2026-09-09T08:42:01.688556+00:00
https://www.tk3c.com/product/218088?p=1&kw=無線滑鼠&ec=Search_goodsPC1,雷蛇 Razer Orochi V2八岐大蛇靈刃無線滑鼠-黑,tk3c,218088,RAZER,Wireless Mouse,1088.0,,InStock,不到 60 公克的超輕量設計、雙無線模式、長達 950 個小時的電池續航力,https://www.cdn-tkec.tw/image/product/202105/218088_M.jpg?t=20210525143023,{},2026-09-09T08:42:03.098106+00:00
https://www.tk3c.com/product/244725?p=1&kw=無線滑鼠&ec=Search_goodsPC1,PREDATOR CESTUS 350無線電競滑鼠,tk3c,244725,Predator,Wireless Mouse,1690.0,,InStock,高速精準度的雙模風格，靈巧大範圍操作、五段DPI(最高16000 DPI)、9Keys巨集可編程、400IPS/40G加速、有線 2000Hz/0.5ms 回報率、無線 1000Hz/1ms 回報率、支援驅動程式(PredatorQuarterMaster)、6.8M RGB背光、單鍵2000萬次點擊壽命,https://www.cdn-tkec.tw/image/product/202311/244725_M.jpg?t=20231128143016,{},2026-09-09T08:42:04.449669+00:00
